Point,Annual revenue,Population,Promo expenditure,Distance to city
1,290,314,87,3
2,758,745,163,13
3,83,93,63,18
4,566,443,161,17
5,518,558,51,17
6,724,654,146,4
7,452,414,65,4
8,154,178,33,20
9,467,311,188,19
10,986,929,164,13
11,78,23,124,10
12,126,24,65,13
13,325,399,31,15
14,356,169,177,14
15,267,165,83,19
16,299,168,141,2
17,223,144,44,16
18,891,900,102,15
19,826,779,168,15
20,563,517,103,11
21,579,580,42,6
22,1004,952,160,4
23,447,267,187,3
24,762,753,79,15
25,426,472,47,15
26,381,295,145,17
27,820,835,127,7
28,778,733,129,15
29,378,210,159,9
30,65,41,93,8
